"Requirement ID","Source Section","Source Title","Source Line","Source Form","Source Statement","Normalized Atomic Requirement","Disposition","Review Method","Atomicity Status","Horizon","Implementation Phase","Epic IDs","Story IDs","Acceptance Criteria IDs","Test IDs","Implementation Evidence","Notes"
"MSR-000-F48D5063B1","0","Preamble","16","bullet","Compliance architect","The platform must support Compliance architect within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-524FAD15F0","0","Preamble","17","bullet","SaaS engineering lead","The platform must support SaaS engineering lead within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-FB6087FF38","0","Preamble","23","bullet","SAP BRIM","The platform must support SAP BRIM within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-DACBBB752F","0","Preamble","24","bullet","Chargebee","The platform must support Chargebee within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-6FCF376BD9","0","Preamble","25","bullet","Recurly","The platform must support Recurly within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-BDC8915346","0","Preamble","26","bullet","Zuora","The platform must support Zuora within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-51F3AECB0B","0","Preamble","27","bullet","Stripe Billing","The platform must support Stripe Billing within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-A8F97E9F6C","0","Preamble","28","bullet","Paddle","The platform must support Paddle within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-0931E0F9CE","0","Preamble","29","bullet","Maxio","The platform must support Maxio within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-99620BA668","0","Preamble","30","bullet","Oracle Subscription Management","The platform must support Oracle Subscription Management within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-DEEB6D176A","0","Preamble","31","bullet","Salesforce Revenue Cloud","The platform must support Salesforce Revenue Cloud within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-001-1CEE9C0C66","1","PRODUCT VISION","45","normative_prose","Build the world's most intuitive and intelligent Subscription & Revenue Operating System.","Build the world's most intuitive and intelligent Subscription & Revenue Operating System.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-01","TC-MSR-001-1CEE9C0C66","","No implementation evidence inferred."
"MSR-001-CB93218431","1","PRODUCT VISION","47","normative_prose","The platform must enable organizations to launch new monetization models quickly while providing subscribers with a frictionless experience for understanding, managing and paying for their subscriptions.","The platform must enable organizations to launch new monetization models quickly while providing subscribers with a frictionless experience for understanding, managing and paying for their subscriptions.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-02","TC-MSR-001-CB93218431","","No implementation evidence inferred."
"MSR-001-516C19774E","1","PRODUCT VISION","49","normative_prose","The product should solve five fundamental problems.","The product should solve five fundamental problems.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-03","TC-MSR-001-516C19774E","","No implementation evidence inferred."
"MSR-001-ED245F4687","1","PRODUCT VISION","53","normative_prose","Businesses should be able to create or change products, prices, bundles, billing rules and promotions without engineering deployments.","Businesses should be able to create or change products, prices, bundles, billing rules and promotions without engineering deployments.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-04","TC-MSR-001-ED245F4687","","No implementation evidence inferred."
"MSR-001-C2A4252562","1","PRODUCT VISION","57","normative_prose","Every legitimate billable event should:","Every legitimate billable event should:.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-001-FCDE5D65ED","1","PRODUCT VISION","59","numbered_item","be captured,","The platform must support be captured, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-05","TC-MSR-001-FCDE5D65ED","","No implementation evidence inferred."
"MSR-001-B6FB2E8A67","1","PRODUCT VISION","60","numbered_item","be priced correctly,","The platform must support be priced correctly, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-06","TC-MSR-001-B6FB2E8A67","","No implementation evidence inferred."
"MSR-001-02CAF499B2","1","PRODUCT VISION","61","numbered_item","become billable,","The platform must support become billable, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-07","TC-MSR-001-02CAF499B2","","No implementation evidence inferred."
"MSR-001-CA9E84B396","1","PRODUCT VISION","62","numbered_item","be invoiced,","The platform must support be invoiced, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-08","TC-MSR-001-CA9E84B396","","No implementation evidence inferred."
"MSR-001-1C3588D555","1","PRODUCT VISION","63","numbered_item","be collected,","The platform must support be collected, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-09","TC-MSR-001-1C3588D555","","No implementation evidence inferred."
"MSR-001-AB2B5AF2EF","1","PRODUCT VISION","64","numbered_item","be reconciled,","The platform must support be reconciled, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-01","AC-MSR-001-01-10","TC-MSR-001-AB2B5AF2EF","","No implementation evidence inferred."
"MSR-001-2A96C7CE2A","1","PRODUCT VISION","65","numbered_item","be recognized appropriately.","The platform must support be recognized appropriately. within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-01","TC-MSR-001-2A96C7CE2A","","No implementation evidence inferred."
"MSR-001-73C51AA854","1","PRODUCT VISION","67","normative_prose","Revenue leakage must be detectable automatically.","Revenue leakage must be detectable automatically.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-02","TC-MSR-001-73C51AA854","","No implementation evidence inferred."
"MSR-001-1A56A5EB69","1","PRODUCT VISION","71","normative_prose","The system should actively maximize the probability that an invoice gets paid.","The system should actively maximize the probability that an invoice gets paid.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-03","TC-MSR-001-1A56A5EB69","","No implementation evidence inferred."
"MSR-001-B220423B41","1","PRODUCT VISION","73","normative_prose","Collections should therefore be an intelligent orchestration problem rather than simply:","Collections should therefore be an intelligent orchestration problem rather than simply:.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-001-1FE33AB9D5","1","PRODUCT VISION","75","contextual_prose","> Payment fails → retry card → send email → suspend account.","Product and implementation decisions must conform to this master-specification constraint: > Payment fails → retry card → send email → suspend account.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-04","TC-MSR-001-1FE33AB9D5","","No implementation evidence inferred."
"MSR-001-E9B9FAAC7B","1","PRODUCT VISION","79","normative_prose","Subscribers should always be able to understand:","Subscribers should always be able to understand:.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-001-4C44038DA9","1","PRODUCT VISION","81","bullet","what they subscribed to,","The platform must support what they subscribed to, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-05","TC-MSR-001-4C44038DA9","","No implementation evidence inferred."
"MSR-001-3C022D47C0","1","PRODUCT VISION","82","bullet","what they consumed,","The platform must support what they consumed, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-06","TC-MSR-001-3C022D47C0","","No implementation evidence inferred."
"MSR-001-FF08507AC1","1","PRODUCT VISION","83","bullet","why they were charged,","The platform must support why they were charged, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-07","TC-MSR-001-FF08507AC1","","No implementation evidence inferred."
"MSR-001-3F9394EC45","1","PRODUCT VISION","84","bullet","when payment is due,","The platform must support when payment is due, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-08","TC-MSR-001-3F9394EC45","","No implementation evidence inferred."
"MSR-001-8E475A1A8A","1","PRODUCT VISION","85","bullet","how they can pay,","The platform must support how they can pay, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-09","TC-MSR-001-8E475A1A8A","","No implementation evidence inferred."
"MSR-001-552347B19C","1","PRODUCT VISION","86","bullet","what happens if they do not pay,","The platform must support what happens if they do not pay, within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-02","AC-MSR-001-02-10","TC-MSR-001-552347B19C","","No implementation evidence inferred."
"MSR-001-77954770B9","1","PRODUCT VISION","87","bullet","how they can change their subscription.","The platform must support how they can change their subscription. within product vision.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-03","AC-MSR-001-03-01","TC-MSR-001-77954770B9","","No implementation evidence inferred."
"MSR-001-42580D867B","1","PRODUCT VISION","91","normative_prose","Complicated subscription operations should become visual, configurable and explainable.","Complicated subscription operations should become visual, configurable and explainable.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-001-03","AC-MSR-001-03-02","TC-MSR-001-42580D867B","","No implementation evidence inferred."
"MSR-002-C4DD31638C","2","PRIMARY PRODUCT PRINCIPLE","97","contextual_prose","Design the product around the concept:","Product and implementation decisions must conform to this master-specification constraint: Design the product around the concept:.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-002-9E3AA48BAE","2","PRIMARY PRODUCT PRINCIPLE","101","normative_prose","Represent every commercial relationship as an interconnected graph.","Represent every commercial relationship as an interconnected graph.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-002-01","AC-MSR-002-01-01","TC-MSR-002-9E3AA48BAE","","No implementation evidence inferred."
"MSR-002-DB49BD8DEC","2","PRIMARY PRODUCT PRINCIPLE","103","contextual_prose","Example:","Product and implementation decisions must conform to this master-specification constraint: Example:.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-002-B7A6E8E227","2","PRIMARY PRODUCT PRINCIPLE","105","contextual_prose","Customer → Account → Contract → Subscription → Product → Entitlement → Usage → Charge → Invoice → Payment → Settlement → Revenue Event → Ledger Entry.","Product and implementation decisions must conform to this master-specification constraint: Customer → Account → Contract → Subscription → Product → Entitlement → Usage → Charge → Invoice → Payment → Settlement → Revenue Event → Ledger Entry.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-002-01","AC-MSR-002-01-02","TC-MSR-002-B7A6E8E227","","No implementation evidence inferred."
"MSR-002-15E961BFA7","2","PRIMARY PRODUCT PRINCIPLE","119","normative_prose","Every downstream transaction must be traceable back to its originating commercial event.","Every downstream transaction must be traceable back to its originating commercial event.","accepted","curated_review","validated_atomic","Cross-horizon","Phase 0","SUB-E005;SUB-E017","US-BL-005-05;US-BL-017-01","AC-BL-005-05-REQ-002-15E961BFA7;AC-BL-017-01-REQ-002-15E961BFA7","TC-005-05-01;TC-005-05-02;TC-017-01-01","","No implementation evidence inferred."
"MSR-002-8565D01B64","2","PRIMARY PRODUCT PRINCIPLE","121","normative_prose","A user looking at a payment should be able to navigate backward to:","A user looking at a payment should be able to navigate backward to:.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-002-9F574C5E41","2","PRIMARY PRODUCT PRINCIPLE","123","normative_prose","Payment → Invoice → Charge → Usage event → Subscription → Contract → Offer → Product.","Payment → Invoice → Charge → Usage event → Subscription → Contract → Offer → Product.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-002-01","AC-MSR-002-01-03","TC-MSR-002-9F574C5E41","","No implementation evidence inferred."
"MSR-002-E09BDE25AB","2","PRIMARY PRODUCT PRINCIPLE","132","contextual_prose","And vice versa.","Product and implementation decisions must conform to this master-specification constraint: And vice versa.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-002-01","AC-MSR-002-01-04","TC-MSR-002-E09BDE25AB","","No implementation evidence inferred."
"MSR-002-B6E855FF6C","2","PRIMARY PRODUCT PRINCIPLE","134","normative_prose","This traceability must be native to the platform.","This traceability must be native to the platform.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-002-01","AC-MSR-002-01-05","TC-MSR-002-B6E855FF6C","","No implementation evidence inferred."
"MSR-003-CAE04DA876","3","TARGET CUSTOMERS","140","contextual_prose","Architect the platform to serve:","Product and implementation decisions must conform to this master-specification constraint: Architect the platform to serve:.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-003-5E375C2D6D","3","TARGET CUSTOMERS","143","bullet","software subscriptions","The platform must support software subscriptions within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-01","TC-MSR-003-5E375C2D6D","","No implementation evidence inferred."
"MSR-003-5EC2258BC2","3","TARGET CUSTOMERS","144","bullet","cloud platforms","The platform must support cloud platforms within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-02","TC-MSR-003-5EC2258BC2","","No implementation evidence inferred."
"MSR-003-8792DDE408","3","TARGET CUSTOMERS","145","bullet","API businesses","The platform must support API businesses within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-03","TC-MSR-003-8792DDE408","","No implementation evidence inferred."
"MSR-003-2F39732EEF","3","TARGET CUSTOMERS","146","bullet","developer platforms","The platform must support developer platforms within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-04","TC-MSR-003-2F39732EEF","","No implementation evidence inferred."
"MSR-003-FE9BD58D85","3","TARGET CUSTOMERS","147","bullet","AI-token services","The platform must support AI-token services within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-05","TC-MSR-003-FE9BD58D85","","No implementation evidence inferred."
"MSR-003-833521C791","3","TARGET CUSTOMERS","148","bullet","storage","The platform must support storage within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-06","TC-MSR-003-833521C791","","No implementation evidence inferred."
"MSR-003-2551EBE467","3","TARGET CUSTOMERS","149","bullet","compute","The platform must support compute within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-07","TC-MSR-003-2551EBE467","","No implementation evidence inferred."
"MSR-003-8103ABDA4D","3","TARGET CUSTOMERS","152","bullet","streaming","The platform must support streaming within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-08","TC-MSR-003-8103ABDA4D","","No implementation evidence inferred."
"MSR-003-9F798F2706","3","TARGET CUSTOMERS","153","bullet","news","The platform must support news within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-09","TC-MSR-003-9F798F2706","","No implementation evidence inferred."
"MSR-003-F14DEBF19C","3","TARGET CUSTOMERS","154","bullet","gaming","The platform must support gaming within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-01","AC-MSR-003-01-10","TC-MSR-003-F14DEBF19C","","No implementation evidence inferred."
"MSR-003-755111D44C","3","TARGET CUSTOMERS","155","bullet","creator subscriptions","The platform must support creator subscriptions within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-01","TC-MSR-003-755111D44C","","No implementation evidence inferred."
"MSR-003-EFFE4897F6","3","TARGET CUSTOMERS","158","bullet","mobile plans","The platform must support mobile plans within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-02","TC-MSR-003-EFFE4897F6","","No implementation evidence inferred."
"MSR-003-A9998D55DB","3","TARGET CUSTOMERS","159","bullet","broadband","The platform must support broadband within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-03","TC-MSR-003-A9998D55DB","","No implementation evidence inferred."
"MSR-003-E509DD74F3","3","TARGET CUSTOMERS","160","bullet","IoT","The platform must support IoT within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-04","TC-MSR-003-E509DD74F3","","No implementation evidence inferred."
"MSR-003-44904C0BEF","3","TARGET CUSTOMERS","161","bullet","usage-based telecommunications","The platform must support usage-based telecommunications within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-05","TC-MSR-003-44904C0BEF","","No implementation evidence inferred."
"MSR-003-62D5D69854","3","TARGET CUSTOMERS","164","bullet","electricity","The platform must support electricity within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-06","TC-MSR-003-62D5D69854","","No implementation evidence inferred."
"MSR-003-46417AB3E6","3","TARGET CUSTOMERS","165","bullet","water","The platform must support water within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-07","TC-MSR-003-46417AB3E6","","No implementation evidence inferred."
"MSR-003-DF71012049","3","TARGET CUSTOMERS","166","bullet","EV charging","The platform must support EV charging within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-08","TC-MSR-003-DF71012049","","No implementation evidence inferred."
"MSR-003-6A6CE47473","3","TARGET CUSTOMERS","167","bullet","distributed energy","The platform must support distributed energy within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-09","TC-MSR-003-6A6CE47473","","No implementation evidence inferred."
"MSR-003-7A040DF487","3","TARGET CUSTOMERS","170","bullet","account fees","The platform must support account fees within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-02","AC-MSR-003-02-10","TC-MSR-003-7A040DF487","","No implementation evidence inferred."
"MSR-003-FDC10A1DF5-01","3","TARGET CUSTOMERS","171","bullet","premium memberships","The platform must support premium memberships within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-01","TC-MSR-003-FDC10A1DF5-01","","No implementation evidence inferred."
"MSR-003-5FB72F5FB0","3","TARGET CUSTOMERS","172","bullet","data services","The platform must support data services within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-02","TC-MSR-003-5FB72F5FB0","","No implementation evidence inferred."
"MSR-003-384668F69E","3","TARGET CUSTOMERS","175","bullet","vehicle subscriptions","The platform must support vehicle subscriptions within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-03","TC-MSR-003-384668F69E","","No implementation evidence inferred."
"MSR-003-075603F584","3","TARGET CUSTOMERS","176","bullet","fleet services","The platform must support fleet services within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-04","TC-MSR-003-075603F584","","No implementation evidence inferred."
"MSR-003-45F0FF8C96","3","TARGET CUSTOMERS","177","bullet","charging","The platform must support charging within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-05","TC-MSR-003-45F0FF8C96","","No implementation evidence inferred."
"MSR-003-817394B2D7","3","TARGET CUSTOMERS","178","bullet","insurance add-ons","The platform must support insurance add-ons within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-06","TC-MSR-003-817394B2D7","","No implementation evidence inferred."
"MSR-003-98EA35C7B3","3","TARGET CUSTOMERS","181","bullet","Equipment-as-a-Service","The platform must support Equipment-as-a-Service within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-07","TC-MSR-003-98EA35C7B3","","No implementation evidence inferred."
"MSR-003-ACD0119A1E","3","TARGET CUSTOMERS","182","bullet","Machine-as-a-Service","The platform must support Machine-as-a-Service within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-08","TC-MSR-003-ACD0119A1E","","No implementation evidence inferred."
"MSR-003-A4D1694035","3","TARGET CUSTOMERS","183","bullet","outcome-based contracts","The platform must support outcome-based contracts within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-09","TC-MSR-003-A4D1694035","","No implementation evidence inferred."
"MSR-003-F6F45F3864","3","TARGET CUSTOMERS","184","bullet","predictive maintenance subscriptions","The platform must support predictive maintenance subscriptions within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-03","AC-MSR-003-03-10","TC-MSR-003-F6F45F3864","","No implementation evidence inferred."
"MSR-003-85EAC6B014","3","TARGET CUSTOMERS","187","bullet","memberships","The platform must support memberships within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-04","AC-MSR-003-04-01","TC-MSR-003-85EAC6B014","","No implementation evidence inferred."
"MSR-003-2C088B781C","3","TARGET CUSTOMERS","188","bullet","health clubs","The platform must support health clubs within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-04","AC-MSR-003-04-02","TC-MSR-003-2C088B781C","","No implementation evidence inferred."
"MSR-003-D913DE2FA4","3","TARGET CUSTOMERS","189","bullet","education","The platform must support education within target customers.","accepted","deterministic_source_normalization","normalized_atomic","Cross-horizon","Cross-horizon","SUB-E001","US-MSR-003-04","AC-MSR-003-04-03","TC-MSR-003-D913DE2FA4","","No implementation evidence inferred."
