"Issue ID","Issue Type","Summary","Description","Epic Name","Epic Link","Parent","External ID","Labels","Priority","Status","Implementation Status","Progress","Acceptance Criteria","Requirement IDs","Test IDs","Implementation Phase","Source"
AC-BL-001-04-REQ-100-2B6E40A9E3 | No tenant must be able to access another tenant's data. | Requirements: MSR-100-2B6E40A9E3 | Tests: TC-001-04-01;TC-001-04-02","MSR-082-83D62B3FFC;MSR-082-A110A8A3AA;MSR-082-8E4D03300F;MSR-100-2B6E40A9E3","TC-001-04-01;TC-001-04-02","Phase 0","BL-001-04"
"22","Story","Return canonical problems and trace identifiers","As a API consumer, I want return canonical problems and trace identifiers, so that trusted context, reliable commands, durable events and shared platform controls.","","SUB-E001","1","US-BL-001-05","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-BL-001-05-01 | Every expected failure returns RFC-7807-compatible data with a stable code and correlation ID. | Requirements:  | Tests: TC-001-05-01;TC-001-05-02
AC-BL-001-05-02 | Unexpected errors return a sanitized 500 response while preserving internal trace evidence. | Requirements:  | Tests: TC-001-05-01;TC-001-05-02","","TC-001-05-01;TC-001-05-02","Phase 0","BL-001-05"
"23","Story","Enforce the master Definition of Done","As a Delivery lead, I want enforce the master definition of done, so that trusted context, reliable commands, durable events and shared platform controls.","","SUB-E001","1","US-MSR-103-DOD","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-MSR-103-DOD-01 | A story cannot be marked implemented without applicable domain, API, UI, authorization, audit, error, accessibility, observability, test and documentation evidence. | Requirements:  | Tests: TC-US-MSR-103-DOD-01;TC-US-MSR-103-DOD-02
AC-MSR-103-DOD-02 | Financial stories additionally require passing reconciliation evidence; any non-applicable item requires an explicit reviewed rationale. | Requirements:  | Tests: TC-US-MSR-103-DOD-01;TC-US-MSR-103-DOD-02
AC-MSR-103-DOD-REQ-103-F379003A15 | A feature is not complete merely because its interface exists. | Requirements: MSR-103-F379003A15 | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-64CE049BC6 | Applicable domain rules must be implemented before a story is complete. | Requirements: MSR-103-64CE049BC6 | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-DD99C57C99 | Applicable APIs must be implemented before a story is complete. | Requirements: MSR-103-DD99C57C99 | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-2543D58A94 | Applicable user interfaces must be implemented before a story is complete. | Requirements: MSR-103-2543D58A94 | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-8AE91EFF47 | Applicable authorization controls must be implemented before a story is complete. | Requirements: MSR-103-8AE91EFF47 | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-25618C084B | Applicable audit evidence must be implemented before a story is complete. | Requirements: MSR-103-25618C084B | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-C447F1FCFA | Expected and unexpected errors must be handled before a story is complete. | Requirements: MSR-103-C447F1FCFA | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-E45C091D3E | Applicable accessibility requirements must be validated before a story is complete. | Requirements: MSR-103-E45C091D3E | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-9A1A617D13 | Applicable observability must be implemented before a story is complete. | Requirements: MSR-103-9A1A617D13 | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-84C4CAE9C7 | All required automated tests must pass before a story is complete. | Requirements: MSR-103-84C4CAE9C7 | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-DC2B7965A0 | Applicable APIs must be documented before a story is complete. | Requirements: MSR-103-DC2B7965A0 | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-8C502917E0 | The affected user workflow must be documented before a story is complete. | Requirements: MSR-103-8C502917E0 | Tests: TC-US-MSR-103-DOD-01
AC-MSR-103-DOD-REQ-103-58FA0E5A12 | Financial reconciliation must be tested before an applicable story is complete. | Requirements: MSR-103-58FA0E5A12 | Tests: TC-US-MSR-103-DOD-02","MSR-103-F379003A15;MSR-103-64CE049BC6;MSR-103-DD99C57C99;MSR-103-2543D58A94;MSR-103-8AE91EFF47;MSR-103-25618C084B;MSR-103-C447F1FCFA;MSR-103-E45C091D3E;MSR-103-9A1A617D13;MSR-103-84C4CAE9C7;MSR-103-DC2B7965A0;MSR-103-8C502917E0;MSR-103-58FA0E5A12","TC-US-MSR-103-DOD-01;TC-US-MSR-103-DOD-02","Phase 0","US-MSR-103-DOD"
"24","Story","Enforce the comprehensive quality strategy","As a QA architect, I want enforce the comprehensive quality strategy, so that trusted context, reliable commands, durable events and shared platform controls.","","SUB-E001","1","US-MSR-099-TEST-STRATEGY","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-MSR-099-TEST-STRATEGY-01 | CI defines release gates for unit, integration, contract, payment simulation, billing golden, pricing property, load, failover, security and financial reconciliation suites. | Requirements:  | Tests: TC-US-MSR-099-TEST-STRATEGY-01;TC-US-MSR-099-TEST-STRATEGY-02
AC-MSR-099-TEST-STRATEGY-02 | Every financial calculation suite uses deterministic, versioned golden datasets and publishes reproducible evidence. | Requirements:  | Tests: TC-US-MSR-099-TEST-STRATEGY-01;TC-US-MSR-099-TEST-STRATEGY-02
AC-MSR-099-TEST-STRATEGY-REQ-099-3545E088B4 | The delivery pipeline must include an applicable unit test suite. | Requirements: MSR-099-3545E088B4 | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-AE15FC3AB2 | The delivery pipeline must include an applicable integration test suite. | Requirements: MSR-099-AE15FC3AB2 | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-FAD1F141E0 | The delivery pipeline must include an applicable contract test suite. | Requirements: MSR-099-FAD1F141E0 | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-3BD4B26263 | The delivery pipeline must include an applicable payment simulation test suite. | Requirements: MSR-099-3BD4B26263 | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-D5B3C5E94F | The delivery pipeline must include an applicable billing golden test suite. | Requirements: MSR-099-D5B3C5E94F | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-4A1081054B | The delivery pipeline must include an applicable property-based pricing test suite. | Requirements: MSR-099-4A1081054B | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-4F087E29FA | The delivery pipeline must include an applicable load test suite. | Requirements: MSR-099-4F087E29FA | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-8FCAAE76B0 | The delivery pipeline must include an applicable failover test suite. | Requirements: MSR-099-8FCAAE76B0 | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-66FC858421 | The delivery pipeline must include an applicable security test suite. | Requirements: MSR-099-66FC858421 | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-F29E63D886 | The delivery pipeline must include an applicable financial reconciliation test suite. | Requirements: MSR-099-F29E63D886 | Tests: TC-US-MSR-099-TEST-STRATEGY-01
AC-MSR-099-TEST-STRATEGY-REQ-099-26FB7756F4 | Financial calculation tests must use deterministic, versioned golden datasets. | Requirements: MSR-099-26FB7756F4 | Tests: TC-US-MSR-099-TEST-STRATEGY-02","MSR-099-3545E088B4;MSR-099-AE15FC3AB2;MSR-099-FAD1F141E0;MSR-099-3BD4B26263;MSR-099-D5B3C5E94F;MSR-099-4A1081054B;MSR-099-4F087E29FA;MSR-099-8FCAAE76B0;MSR-099-66FC858421;MSR-099-F29E63D886;MSR-099-26FB7756F4","TC-US-MSR-099-TEST-STRATEGY-01;TC-US-MSR-099-TEST-STRATEGY-02","Phase 0","US-MSR-099-TEST-STRATEGY"
"25","Story","Provision and manage tenant lifecycle","As a Platform operator, I want provision and manage tenant lifecycle, so that tenant lifecycle, authentication, authorization and controlled administrative access.","","SUB-E002","2","US-BL-002-01","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-BL-002-01-01 | Provisioning creates the tenant in PROVISIONING and valid commands move it only through the approved state graph. | Requirements:  | Tests: TC-002-01-01;TC-002-01-02;TC-002-01-03
AC-BL-002-01-02 | A stale version or forbidden transition is rejected; CLOSED is terminal. | Requirements:  | Tests: TC-002-01-01;TC-002-01-02;TC-002-01-03
AC-BL-002-01-REQ-082-83D62B3FFC | The platform must support shared multi-tenant SaaS with enforced isolation. | Requirements: MSR-082-83D62B3FFC | Tests: TC-002-01-03","MSR-082-83D62B3FFC","TC-002-01-01;TC-002-01-02;TC-002-01-03","Phase 0","BL-002-01"
"26","Story","Authenticate administrators with OIDC/SAML and MFA","As a Tenant administrator, I want authenticate administrators with oidc/saml and mfa, so that tenant lifecycle, authentication, authorization and controlled administrative access.","","SUB-E002","2","US-BL-002-02","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-BL-002-02-01 | Only tokens with valid signature, issuer, audience, expiry and required assurance create a session. | Requirements:  | Tests: TC-002-02-01;TC-002-02-02
AC-BL-002-02-02 | Session expiry and revocation deny subsequent requests without exposing token contents. | Requirements:  | Tests: TC-002-02-01;TC-002-02-02","","TC-002-02-01;TC-002-02-02","Phase 0","BL-002-02"
"27","Story","Enforce RBAC and maker-checker","As a Finance Controller, I want enforce rbac and maker-checker, so that tenant lifecycle, authentication, authorization and controlled administrative access.","","SUB-E002","2","US-BL-002-03","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-BL-002-03-01 | Permissions are tenant-scoped and deny by default. | Requirements:  | Tests: TC-002-03-01;TC-002-03-02
AC-BL-002-03-02 | A proposer cannot approve their own governed request; an authorized second actor can approve it atomically. | Requirements:  | Tests: TC-002-03-01;TC-002-03-02
AC-BL-002-03-REQ-061-7A36036152 | The role catalogue must define least-privilege permissions for the Billing Administrator persona. | Requirements: MSR-061-7A36036152 | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-1B4B96A6E3 | The role catalogue must define least-privilege permissions for the Pricing Manager persona. | Requirements: MSR-061-1B4B96A6E3 | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-AD99726B55 | The role catalogue must define least-privilege permissions for the Collections Agent persona. | Requirements: MSR-061-AD99726B55 | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-10DF979CB3 | The role catalogue must define least-privilege permissions for the Customer Support persona. | Requirements: MSR-061-10DF979CB3 | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-FC23E1A2AC | The role catalogue must define least-privilege permissions for the Finance Controller persona. | Requirements: MSR-061-FC23E1A2AC | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-5B5141CF8A | The role catalogue must define least-privilege permissions for the Revenue Accountant persona. | Requirements: MSR-061-5B5141CF8A | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-090E641078 | The role catalogue must define least-privilege permissions for the Sales persona. | Requirements: MSR-061-090E641078 | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-63FDAF8F3E | The role catalogue must define least-privilege permissions for the Product Manager persona. | Requirements: MSR-061-63FDAF8F3E | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-C9828F9E74 | The role catalogue must define least-privilege permissions for the Operations persona. | Requirements: MSR-061-C9828F9E74 | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-5C468F3F8B | The role catalogue must define least-privilege permissions for the Developer persona. | Requirements: MSR-061-5C468F3F8B | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-A7460DEF70 | The role catalogue must define least-privilege permissions for the Auditor persona. | Requirements: MSR-061-A7460DEF70 | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-3232EC982D | The role catalogue must define least-privilege permissions for the Executive persona. | Requirements: MSR-061-3232EC982D | Tests: TC-002-03-01
AC-BL-002-03-REQ-061-2B41953787 | Authorization must support tenant-scoped RBAC and optional attribute-based policy constraints. | Requirements: MSR-061-2B41953787 | Tests: TC-002-03-01
AC-BL-002-03-REQ-062-8989FE4287 | Maker-checker approval policy must be tenant-configurable. | Requirements: MSR-062-8989FE4287 | Tests: TC-002-03-02
AC-BL-002-03-REQ-062-BC82DFEC91 | A discount above 20 percent must require configured approval. | Requirements: MSR-062-BC82DFEC91 | Tests: TC-002-03-02
AC-BL-002-03-REQ-062-2876276E95 | A refund above 10,000 dollars must require configured approval. | Requirements: MSR-062-2876276E95 | Tests: TC-002-03-02
AC-BL-002-03-REQ-062-B080DE07A3 | Pricing activation must require Product and Finance approval. | Requirements: MSR-062-B080DE07A3 | Tests: TC-002-03-02
AC-BL-002-03-REQ-062-58A24733E1 | A write-off above the configured threshold must require Controller approval. | Requirements: MSR-062-58A24733E1 | Tests: TC-002-03-02
AC-BL-002-03-REQ-100-C2940C4995 | Pricing activation must require authorized maker-checker approval. | Requirements: MSR-100-C2940C4995 | Tests: TC-002-03-02","MSR-061-7A36036152;MSR-061-1B4B96A6E3;MSR-061-AD99726B55;MSR-061-10DF979CB3;MSR-061-FC23E1A2AC;MSR-061-5B5141CF8A;MSR-061-090E641078;MSR-061-63FDAF8F3E;MSR-061-C9828F9E74;MSR-061-5C468F3F8B;MSR-061-A7460DEF70;MSR-061-3232EC982D;MSR-061-2B41953787;MSR-062-8989FE4287;MSR-062-BC82DFEC91;MSR-062-2876276E95;MSR-062-B080DE07A3;MSR-062-58A24733E1;MSR-100-C2940C4995","TC-002-03-01;TC-002-03-02","Phase 0","BL-002-03"
"28","Story","Authenticate internal workloads","As a Platform operator, I want authenticate internal workloads, so that tenant lifecycle, authentication, authorization and controlled administrative access.","","SUB-E002","2","US-BL-002-04","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-BL-002-04-01 | Each worker uses a short-lived workload identity scoped to its required tenant and operations. | Requirements:  | Tests: TC-002-04-01;TC-002-04-02
AC-BL-002-04-02 | A workload identity cannot create an interactive session or exceed its declared audience. | Requirements:  | Tests: TC-002-04-01;TC-002-04-02","","TC-002-04-01;TC-002-04-02","Phase 0","BL-002-04"
"29","Story","Grant time-bound break-glass support access","As a Security administrator, I want grant time-bound break-glass support access, so that tenant lifecycle, authentication, authorization and controlled administrative access.","","SUB-E002","2","US-BL-002-05","sintius phase-6 master-specification","Medium","To Do","not_started","0","AC-BL-002-05-01 | Break-glass access requires reason, approver, tenant scope and expiry and is disabled by default. | Requirements:  | Tests: TC-002-05-01;TC-002-05-02
AC-BL-002-05-02 | Every use is prominently logged and access automatically ends at expiry or revocation. | Requirements:  | Tests: TC-002-05-01;TC-002-05-02","","TC-002-05-01;TC-002-05-02","Phase 6","BL-002-05"
"30","Story","Provision a dedicated tenant deployment","As a Enterprise platform operator, I want provision a dedicated tenant deployment, so that tenant lifecycle, authentication, authorization and controlled administrative access.","","SUB-E002","2","FUT-E002-01","sintius enterprise master-specification","Medium","To Do","not_started","0","AC-FUT-E002-01-01 | A qualifying tenant can be provisioned into an isolated deployment without changing domain contracts. | Requirements:  | Tests: TC-E002-01-01;TC-E002-01-02
AC-FUT-E002-01-02 | Routing, keys, backups and observability remain tenant-specific and pass the isolation certification suite. | Requirements:  | Tests: TC-E002-01-01;TC-E002-01-02
AC-FUT-E002-01-REQ-082-7D8E5BC459 | The platform must support dedicated enterprise deployments. | Requirements: MSR-082-7D8E5BC459 | Tests: TC-E002-01-01;TC-E002-01-02","MSR-082-7D8E5BC459","TC-E002-01-01;TC-E002-01-02","Enterprise","FUT-E002-01"
"31","Story","Manage customer and account lifecycle","As a Billing Administrator, I want manage customer and account lifecycle, so that stable commercial parties, billing accounts and support views.","","SUB-E003","3","US-BL-003-01","sintius phase-1 master-specification","Medium","To Do","not_started","0","AC-BL-003-01-01 | Valid input creates an ACTIVE customer account with currency and payment terms under the current tenant. | Requirements:  | Tests: TC-003-01-01;TC-003-01-02
AC-BL-003-01-02 | Lifecycle changes enforce optimistic concurrency and preserve referenced financial history. | Requirements:  | Tests: TC-003-01-01;TC-003-01-02","","TC-003-01-01;TC-003-01-02","Phase 1","BL-003-01"
"32","Story","View Customer 360","As a Customer Support Agent, I want view customer 360, so that stable commercial parties, billing accounts and support views.","","SUB-E003","3","US-BL-003-02","sintius phase-1 master-specification","Medium","To Do","not_started","0","AC-BL-003-02-01 | Identity, subscriptions, balance, invoices, payments and risk are composed with independent tab failure boundaries. | Requirements:  | Tests: TC-003-02-01;TC-003-02-02
AC-BL-003-02-02 | Stale projection data displays its freshness timestamp. | Requirements:  | Tests: TC-003-02-01;TC-003-02-02","","TC-003-02-01;TC-003-02-02","Phase 1","BL-003-02"
"33","Story","Deactivate and pseudonymize a customer","As a Privacy operator, I want deactivate and pseudonymize a customer, so that stable commercial parties, billing accounts and support views.","","SUB-E003","3","US-BL-003-03","sintius phase-1 master-specification","Medium","To Do","not_started","0","AC-BL-003-03-01 | Deactivation prevents new commercial activity without deleting financially referenced records. | Requirements:  | Tests: TC-003-03-01;TC-003-03-02
AC-BL-003-03-02 | Approved pseudonymization removes eligible personal data and records immutable evidence of the operation. | Requirements:  | Tests: TC-003-03-01;TC-003-03-02","","TC-003-03-01;TC-003-03-02","Phase 1","BL-003-03"
"34","Story","Publish effective-dated product versions","As a Product Manager, I want publish effective-dated product versions, so that versioned products, offers, plans and future contract configuration.","","SUB-E004","4","US-BL-004-01","sintius phase-1 master-specification","Medium","To Do","not_started","0","AC-BL-004-01-01 | Publishing a new version never mutates an earlier version or subscriptions bound to it. | Requirements:  | Tests: TC-004-01-01;TC-004-01-02
AC-BL-004-01-02 | Overlapping effective ranges for the same selector are rejected. | Requirements:  | Tests: TC-004-01-01;TC-004-01-02
AC-BL-004-01-REQ-100-445596E4C7 | A pricing change must not apply retroactively unless represented by an explicit correction. | Requirements: MSR-100-445596E4C7 | Tests: TC-004-01-02","MSR-100-445596E4C7","TC-004-01-01;TC-004-01-02","Phase 1","BL-004-01"
"35","Story","Compose offers and plans","As a Product Manager, I want compose offers and plans, so that versioned products, offers, plans and future contract configuration.","","SUB-E004","4","US-BL-004-02","sintius phase-1 master-specification","Medium","To Do","not_started","0","AC-BL-004-02-01 | An offer references only compatible published product and price versions. | Requirements:  | Tests: TC-004-02-01;TC-004-02-02
AC-BL-004-02-02 | Selection rules are deterministic, effective-dated and return an explainable match or no-match result. | Requirements:  | Tests: TC-004-02-01;TC-004-02-02","","TC-004-02-01;TC-004-02-02","Phase 1","BL-004-02"
"36","Story","Operate the Product Catalog screen","As a Product Manager, I want operate the product catalog screen, so that versioned products, offers, plans and future contract configuration.","","SUB-E004","4","US-BL-004-03","sintius phase-1 master-specification","Medium","To Do","not_started","0","AC-BL-004-03-01 | The screen lists versions and effective status and supports create, compare and publish subject to permissions. | Requirements:  | Tests: TC-004-03-01;TC-004-03-02
AC-BL-004-03-02 | Publish validation errors identify the conflicting field or effective range and preserve the draft. | Requirements:  | Tests: TC-004-03-01;TC-004-03-02","","TC-004-03-01;TC-004-03-02","Phase 1","BL-004-03"
"37","Story","Create basic contracts and quotes","As a Sales Operations, I want create basic contracts and quotes, so that versioned products, offers, plans and future contract configuration.","","SUB-E004","4","FUT-E004-01","sintius release-2 master-specification","Medium","To Do","not_started","0","AC-FUT-E004-01-01 | A quote composes customer, term, offer, pricing and approvals into a versioned contract proposal. | Requirements:  | Tests: TC-E004-01-01;TC-E004-01-02
AC-FUT-E004-01-02 | Accepting an approved quote creates the contracted subscription without rewriting its commercial snapshot. | Requirements:  | Tests: TC-E004-01-01;TC-E004-01-02","","TC-E004-01-01;TC-E004-01-02","Release 2","FUT-E004-01"
"38","Story","Configure advanced enterprise CPQ","As a Enterprise Sales Operations, I want configure advanced enterprise cpq, so that versioned products, offers, plans and future contract configuration.","","SUB-E004","4","FUT-E004-02","sintius enterprise master-specification","Medium","To Do","not_started","0","AC-FUT-E004-02-01 | Complex bundles, amendments and negotiated terms are validated against enterprise approval policy. | Requirements:  | Tests: TC-E004-02-01;TC-E004-02-02
AC-FUT-E004-02-02 | Every approved configuration retains lineage from quote through contract and subscription. | Requirements:  | Tests: TC-E004-02-01;TC-E004-02-02","","TC-E004-02-01;TC-E004-02-02","Enterprise","FUT-E004-02"
"39","Story","Compile a typed pricing AST","As a Pricing engineer, I want compile a typed pricing ast, so that deterministic pricing composition, simulation and advanced monetization.","","SUB-E005","5","US-BL-005-01","sintius phase-1 master-specification","Medium","To Do","not_started","0","AC-BL-005-01-01 | Only allow-listed typed nodes compile; arbitrary code and invalid type combinations are rejected. | Requirements:  | Tests: TC-005-01-01;TC-005-01-02
AC-BL-005-01-02 | Canonical serialization of the same AST yields the same content hash. | Requirements:  | Tests: TC-005-01-01;TC-005-01-02","","TC-005-01-01;TC-005-01-02","Phase 1","BL-005-01"
"40","Story","Rate all MVP charge types","As a Pricing Manager, I want rate all mvp charge types, so that deterministic pricing composition, simulation and advanced monetization.","","SUB-E005","5","US-BL-005-02","sintius phase-1 master-specification","Medium","In Progress","in_progress","10","AC-BL-005-02-01 | Flat, per-seat, one-time, volume, graduated-tier and allowance/overage models match the approved golden examples. | Requirements:  | Tests: TC-005-02-01;TC-005-02-02
AC-BL-005-02-02 | No monetary calculation uses binary floating point. | Requirements:  | Tests: TC-005-02-01;TC-005-02-02","","TC-005-02-01;TC-005-02-02","Phase 1","BL-005-02"
"41","Story","Calculate proration","As a Billing Administrator, I want calculate proration, so that deterministic pricing composition, simulation and advanced monetization.","","SUB-E005","5","US-BL-005-03","sintius phase-1 master-specification","Medium","In Progress","in_progress","25","AC-BL-005-03-01 | NONE, ACTUAL_DAYS, FULL_PERIOD_ONLY and IMMEDIATE_FULL produce policy-versioned traces. | Requirements:  | Tests: TC-005-03-01;TC-005-03-02
AC-BL-005-03-02 | Calendar and DST boundaries follow the finance-approved convention. | Requirements:  | Tests: TC-005-03-01;TC-005-03-02","","TC-005-03-01;TC-005-03-02","Phase 1","BL-005-03"
"42","Story","Apply discounts, minimums, caps and rounding","As a Finance Controller, I want apply discounts, minimums, caps and rounding, so that deterministic pricing composition, simulation and advanced monetization.","","SUB-E005","5","US-BL-005-04","sintius phase-1 master-specification","Medium","In Progress","in_progress","20","AC-BL-005-04-01 | Operations apply in the documented order and currency rounding occurs only at approved boundaries. | Requirements:  | Tests: TC-005-04-01;TC-005-04-02
AC-BL-005-04-02 | Allocated rounded amounts reconcile exactly to the rounded total. | Requirements:  | Tests: TC-005-04-01;TC-005-04-02","","TC-005-04-01;TC-005-04-02","Phase 1","BL-005-04"
"43","Story","Persist calculation traces","As a Finance Controller, I want persist calculation traces, so that deterministic pricing composition, simulation and advanced monetization.","","SUB-E005","5","US-BL-005-05","sintius phase-1 master-specification","Medium","To Do","not_started","0","AC-BL-005-05-01 | Every rated amount links to a versioned operation tree containing inputs, rules and intermediate results. | Requirements:  | Tests: TC-005-05-01;TC-005-05-02
AC-BL-005-05-02 | Identical canonical input and engine version replay to the same amount and trace hash. | Requirements:  | Tests: TC-005-05-01;TC-005-05-02
AC-BL-005-05-REQ-002-15E961BFA7 | Every downstream transaction must be traceable back to its originating commercial event. | Requirements: MSR-002-15E961BFA7 | Tests: TC-005-05-01;TC-005-05-02
AC-BL-005-05-REQ-100-D9D23B15BD | Every financial transaction must retain end-to-end source and decision traceability. | Requirements: MSR-100-D9D23B15BD | Tests: TC-005-05-01;TC-005-05-02","MSR-002-15E961BFA7;MSR-100-D9D23B15BD","TC-005-05-01;TC-005-05-02","Phase 1","BL-005-05"
"44","Story","Activate rate cards with maker-checker","As a Pricing Manager, I want activate rate cards with maker-checker, so that deterministic pricing composition, simulation and advanced monetization.","","SUB-E005","5","US-BL-005-06","sintius phase-1 master-specification","Medium","To Do","not_started","0","AC-BL-005-06-01 | Submission freezes the candidate version pending approval. | Requirements:  | Tests: TC-005-06-01;TC-005-06-02
